StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
TestPybindStrategy,2021-Nov-05 13:30:11.181691,AAPL,100,151.830000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175890,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.282563,AAPL,100,151.810000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175891,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.352766,AAPL,100,151.880000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175892,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.720398,AAPL,-100,148.180000,0.451923,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175893,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.720398,AAPL,100,151.940000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175894,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.758594,AAPL,-100,151.880000,0.460211,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175895,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.758594,AAPL,100,151.940000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175896,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.758626,AAPL,-100,151.880000,0.460211,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175897,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.758626,AAPL,100,151.940000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175898,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.791197,AAPL,-100,151.900000,0.460256,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175899,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.791197,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175900,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.792915,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175900,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.822927,AAPL,-100,151.880000,0.460211,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175901,,FILL
TestPybindStrategy,2021-Nov-05 13:30:11.822927,AAPL,100,151.950000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175902,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.143010,AAPL,-100,148.180000,0.451923,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175903,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.143010,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175904,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.143305,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175904,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.449957,AAPL,-100,151.930000,0.460323,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175905,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.449957,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175906,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.450470,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175906,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.554053,AAPL,-100,151.910000,0.460278,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175907,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.554053,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175908,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.554245,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175908,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.747170,AAPL,-100,151.910000,0.460278,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175909,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.747170,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175910,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.790665,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175910,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.811917,AAPL,-100,151.900000,0.460256,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175911,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.811917,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175912,,FILL
TestPybindStrategy,2021-Nov-05 13:30:12.812019,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175912,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.058265,AAPL,-100,151.910000,0.460278,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175913,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.058265,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175914,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.058352,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175914,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.058352,AAPL,-100,151.910000,0.460278,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175915,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.058352,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175916,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.058386,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175916,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.354002,AAPL,-100,151.920000,0.460301,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175917,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.354002,AAPL,100,151.970000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175918,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.360809,AAPL,-100,151.920000,0.460301,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175919,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.360809,AAPL,100,151.970000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175920,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.365075,AAPL,-100,151.920000,0.460301,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175921,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.365075,AAPL,100,151.970000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175922,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.488112,AAPL,-100,151.900000,0.460256,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175923,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.488112,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175924,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.488129,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175924,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.488129,AAPL,-100,151.900000,0.460256,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175925,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.488129,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175926,,FILL
TestPybindStrategy,2021-Nov-05 13:30:13.488230,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175926,,FILL
TestPybindStrategy,2021-Nov-05 13:30:14.153936,AAPL,-100,151.900000,0.460256,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175927,,FILL
TestPybindStrategy,2021-Nov-05 13:30:14.153936,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175928,,FILL
TestPybindStrategy,2021-Nov-05 13:30:14.153945,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175928,,FILL
TestPybindStrategy,2021-Nov-05 13:30:14.155360,AAPL,-100,147.660000,0.450758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175929,,FILL
TestPybindStrategy,2021-Nov-05 13:30:14.155360,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175930,,FILL
TestPybindStrategy,2021-Nov-05 13:30:14.155998,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175930,,FILL
TestPybindStrategy,2021-Nov-05 13:30:14.155998,AAPL,-100,147.660000,0.450758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175931,,FILL
TestPybindStrategy,2021-Nov-05 13:30:14.155998,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175932,,FILL
TestPybindStrategy,2021-Nov-05 13:30:14.156919,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175932,,FILL
TestPybindStrategy,2021-Nov-05 13:30:16.239738,AAPL,-100,151.770000,0.459965,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175933,,FILL
TestPybindStrategy,2021-Nov-05 13:30:16.239738,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175934,,FILL
TestPybindStrategy,2021-Nov-05 13:30:16.240363,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175934,,FILL
TestPybindStrategy,2021-Nov-05 13:30:17.697787,AAPL,-100,147.660000,0.450758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175935,,FILL
TestPybindStrategy,2021-Nov-05 13:30:17.697787,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175936,,FILL
TestPybindStrategy,2021-Nov-05 13:30:17.720379,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175936,,FILL
TestPybindStrategy,2021-Nov-05 13:30:17.721021,AAPL,-100,147.660000,0.450758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175937,,FILL
TestPybindStrategy,2021-Nov-05 13:30:17.721021,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175938,,FILL
TestPybindStrategy,2021-Nov-05 13:30:17.786637,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175938,,FILL
TestPybindStrategy,2021-Nov-05 13:30:19.319984,AAPL,-100,147.660000,0.450758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175939,,FILL
TestPybindStrategy,2021-Nov-05 13:30:19.319984,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175940,,FILL
TestPybindStrategy,2021-Nov-05 13:30:19.332446,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175940,,FILL
TestPybindStrategy,2021-Nov-05 13:30:20.728622,AAPL,-100,151.690000,0.459786,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175941,,FILL
TestPybindStrategy,2021-Nov-05 13:30:20.728622,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175942,,FILL
TestPybindStrategy,2021-Nov-05 13:30:20.731070,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175942,,FILL
TestPybindStrategy,2021-Nov-05 13:30:20.732123,AAPL,100,151.750000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175943,,FILL
TestPybindStrategy,2021-Nov-05 13:30:21.172320,AAPL,-100,151.650000,0.459696,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175944,,FILL
TestPybindStrategy,2021-Nov-05 13:30:21.172320,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175945,,FILL
TestPybindStrategy,2021-Nov-05 13:30:21.172338,AAPL,15,152.600000,0.018000,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175945,,FILL
TestPybindStrategy,2021-Nov-05 13:30:21.172338,AAPL,-100,151.650000,0.459696,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175946,,FILL
TestPybindStrategy,2021-Nov-05 13:30:21.172338,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175947,,FILL
TestPybindStrategy,2021-Nov-05 13:30:21.172365,AAPL,2,152.600000,0.002400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175945,,FILL
TestPybindStrategy,2021-Nov-05 13:30:21.172365,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175947,,FILL
TestPybindStrategy,2021-Nov-05 13:30:22.436442,AAPL,-100,151.620000,0.459629,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175948,,FILL
TestPybindStrategy,2021-Nov-05 13:30:22.436442,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175949,,FILL
TestPybindStrategy,2021-Nov-05 13:30:22.436442,AAPL,17,152.600000,0.020400,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175949,,FILL
TestPybindStrategy,2021-Nov-05 13:30:22.751536,AAPL,100,151.710000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175950,,FILL
TestPybindStrategy,2021-Nov-05 13:30:23.469634,AAPL,100,151.690000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175951,,FILL
TestPybindStrategy,2021-Nov-05 13:30:23.541197,AAPL,-100,151.710000,0.459830,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175952,,FILL
TestPybindStrategy,2021-Nov-05 13:30:23.541197,AAPL,83,152.600000,0.099600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175953,,FILL
